FID_1,Location,Date,Set Type,Song Order,Song,Show_num,STATE_ABBR
2264,"Charlotte, NC",6/10/2016,First Set,1,Music Never Stopped,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,2,Cold Rain and Snow,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,3,Friend of the Devil,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,4,They Love Each Other,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,5,Liberty,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,6,Cassidy,1,NC
2264,"Charlotte, NC",6/10/2016,First Set,7,Promised Land,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,8,Eyes of the World,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,9,Deal,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,10,Estimated Prophet,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,11,Drums,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,12,Space,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,13,Feel Like a Stranger,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,14,Black Peter,1,NC
2264,"Charlotte, NC",6/10/2016,Second Set,15,Lovelight,1,NC
3511,"Manchester, TN",6/12/2016,First Set,1,Truckin,2,TN
3511,"Manchester, TN",6/12/2016,First Set,2,Smokestack Lightning,2,TN
3511,"Manchester, TN",6/12/2016,First Set,3,Bertha,2,TN
3511,"Manchester, TN",6/12/2016,First Set,4,Playin in the Band,2,TN
3511,"Manchester, TN",6/12/2016,First Set,5,Bird Song,2,TN
3511,"Manchester, TN",6/12/2016,First Set,6,Tennessee Jed,2,TN
3511,"Manchester, TN",6/12/2016,First Set,7,Shakedown Street,2,TN
3511,"Manchester, TN",6/12/2016,First Set,8,Passenger,2,TN
3511,"Manchester, TN",6/12/2016,First Set,9,Casey Jones,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,10,Help on the Way,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,11,Slipknot,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,12,Scarlet Begonias,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,13,Fire on the Mountain,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,14,Terrapin Station,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,15,Drums,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,16,Space,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,17,Other One,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,18,Wharf Rat,2,TN
3511,"Manchester, TN",6/12/2016,Second Set,19,Franklin's Tower,2,TN
3511,"Manchester, TN",6/12/2016,Encore,20,Touch of Grey,2,TN
2382,"Cincinnati, OH",6/16/2016,First Set,1,Hell in a Bucket,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,2,Brown Eyed Women,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,3,Me and My Uncle,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,4,Big River,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,5,Sugaree,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,6,Jack Straw,3,OH
2382,"Cincinnati, OH",6/16/2016,First Set,7,Mississippi Half Step,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,8,Box of Rain,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,9,Viola Lee Blues,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,10,Uncle John's Band,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,11,China Cat Sunflower,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,12,I Know You Rider,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,13,Drums,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,14,Space,3,OH
2382,"Cincinnati, OH",6/16/2016,Second Set,15,Stella Blue,3,OH
